Analizador lexico:
LexToken(IMPORT,'import',1,0)
LexToken(LPAREN,'(',1,7)
LexToken(CHARSTRING,'"fmt"',1,10)
LexToken(RPAREN,')',1,16)
LexToken(FUNCTION,'func',1,18)
LexToken(VARIABLE,'factorial',1,23)
LexToken(LPAREN,'(',1,32)
LexToken(VARIABLE,'n',1,33)
LexToken(INTSTATE,'int',1,35)
LexToken(RPAREN,')',1,38)
LexToken(INTSTATE,'int',1,40)
LexToken(LBRACE,'{',1,44)
LexToken(VARIABLE,'result',1,47)
LexToken(COLON,':',1,54)
LexToken(ASSIGN,'=',1,55)
LexToken(INT,1,1,57)
LexToken(FOR,'for',1,60)
LexToken(VARIABLE,'i',1,64)
LexToken(COLON,':',1,66)
LexToken(ASSIGN,'=',1,67)
LexToken(INT,1,1,69)
LexToken(SEMICOLON,';',1,70)
LexToken(VARIABLE,'i',1,72)
LexToken(LESSEQUALS,'<=',1,74)
LexToken(VARIABLE,'n',1,77)
LexToken(SEMICOLON,';',1,78)
LexToken(VARIABLE,'i',1,80)
LexToken(INCREMENT,'++',1,81)
LexToken(LBRACE,'{',1,84)
LexToken(VARIABLE,'result',1,88)
LexToken(TIMESASSIGN,'*=',1,95)
LexToken(VARIABLE,'i',1,98)
LexToken(RBRACE,'}',1,101)
LexToken(RETURN,'return',1,104)
LexToken(VARIABLE,'result',1,111)
LexToken(RBRACE,'}',1,118)
LexToken(FUNCTION,'func',1,121)
LexToken(MAIN,'main',1,126)
LexToken(LPAREN,'(',1,130)
LexToken(RPAREN,')',1,131)
LexToken(LBRACE,'{',1,133)
LexToken(VARIABLE,'num',1,136)
LexToken(COLON,':',1,140)
LexToken(ASSIGN,'=',1,141)
LexToken(INT,5,1,143)
LexToken(VARIABLE,'fact',1,146)
LexToken(COLON,':',1,151)
LexToken(ASSIGN,'=',1,152)
LexToken(VARIABLE,'factorial',1,154)
LexToken(LPAREN,'(',1,163)
LexToken(VARIABLE,'num',1,164)
LexToken(RPAREN,')',1,167)
LexToken(PRINT,'fmt.Print',1,170)
LexToken(VARIABLE,'f',1,179)
LexToken(LPAREN,'(',1,180)
LexToken(FORMATSTRING,'"El factorial de %d es: %d\\n"',1,181)
LexToken(COMMA,',',1,210)
LexToken(VARIABLE,'num',1,212)
LexToken(COMMA,',',1,215)
LexToken(VARIABLE,'fact',1,217)
LexToken(RPAREN,')',1,221)
LexToken(RBRACE,'}',1,223)
